feature,feature_type,pipeline_source,audit_status,required_action,allowed_for_strict_ml_v1_0
cab_type,categorical,request context or deterministic prediction timestamp,SAFE_AS_IS,none,True
name,categorical,request context or deterministic prediction timestamp,SAFE_AS_IS,none,True
source,categorical,request context or deterministic prediction timestamp,SAFE_AS_IS,none,True
destination,categorical,request context or deterministic prediction timestamp,SAFE_AS_IS,none,True
short_summary,categorical,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
observation_age_bucket,categorical,strictly previous snapshots via shift/rolling,SAFE_AFTER_DELAY_PROTOCOL,select observations using an as-of cutoff t-delay,False
distance_median,numeric,median of quote rows inside the target 5-minute bucket,REBUILD_FROM_REQUEST_TIME_SOURCE,use request/route distance known at prediction time or lagged/train-only route distance,False
latitude,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
longitude,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
temperature,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
apparentTemperature,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
precipIntensity,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
precipProbability,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
humidity,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
windSpeed,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
windGust,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
visibility,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
dewPoint,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
pressure,numeric,aggregation of weather fields inside the target 5-minute bucket,REBUILD_ASOF_PREDICTION_TIME,join weather issued at or before prediction time; do not aggregate future rows in target bucket,False
